doc_id,category,filename,title,title_removal_mode,removed_title_text,retained_first_line_body,sentence_count,avg_sentence_len,median_sentence_len
536,03_3人际沟通,2016_11_08 有这样的班花班草，老子愿意重新上学 conv.txt,2016_11_08 有这样的班花班草，老子愿意重新上学,date_header_standalone_line,有这样的班花班草，老子愿意重新上学 原创：咪蒙 咪蒙 2016-11-08,,54,32.26,31.0
537,03_3人际沟通,2016_11_09 我这条朋友圈，只对你可见 conv.txt,2016_11_09 我这条朋友圈，只对你可见,date_header_standalone_line,我这条朋友圈，只对你可见 原创：王火火 咪蒙 2016-11-09,,67,25.06,22.0
538,03_3人际沟通,2016_11_11 如果终点是你，晚一点也没关系 conv.txt,2016_11_11 如果终点是你，晚一点也没关系,date_header_standalone_line,如果终点是你，晚一点也没关系 原创：咪蒙+吉跳 咪蒙 2016-11-11,,78,27.65,28.0
539,03_3人际沟通,2016_11_19 我的女朋友，活在1999年 conv.txt,2016_11_19 我的女朋友，活在1999年,date_header_standalone_line,我的女朋友，活在1999年 原创：咪蒙+杨科南 咪蒙 2016-11-19,,138,23.16,21.0
540,03_3人际沟通,2016_11_21 你嫉妒我的样子，真丑 conv.txt,2016_11_21 你嫉妒我的样子，真丑,date_header_standalone_line,你嫉妒我的样子，真丑 原创：咪蒙 咪蒙 2016-11-21,,80,32.92,26.0
541,03_3人际沟通,2016_11_22 道理我都懂，可我还是想要钱 conv.txt,2016_11_22 道理我都懂，可我还是想要钱,date_header_standalone_line,道理我都懂，可我还是想要钱 原创：咪蒙 咪蒙 2016-11-22,,93,21.09,18.0
542,03_3人际沟通,2016_11_24 别再等了，你错过的还不够多吗？ conv.txt,2016_11_24 别再等了，你错过的还不够多吗？,date_header_standalone_line,别再等了，你错过的还不够多吗？ 原创：咪蒙 咪蒙 2016-11-24,,118,23.08,19.0
543,03_3人际沟通,2016_11_25 我在朋友圈，悄悄爱过你 conv.txt,2016_11_25 我在朋友圈，悄悄爱过你,date_header_standalone_line,我在朋友圈，悄悄爱过你 原创：咪蒙+黄经天 咪蒙 2016-11-25,,100,26.76,22.5
544,03_3人际沟通,2016_11_28 不好意思，你的努力不值钱 conv.txt,2016_11_28 不好意思，你的努力不值钱,date_header_standalone_line,不好意思，你的努力不值钱 原创：咪蒙 咪蒙 2016-11-28,,93,25.02,23.0
545,03_3人际沟通,2016_11_29 剪完头发，我被自己丑哭了 conv.txt,2016_11_29 剪完头发，我被自己丑哭了,date_header_standalone_line,剪完头发，我被自己丑哭了 原创：咪蒙 咪蒙 2016-11-29,,60,28.47,26.0
546,03_3人际沟通,2016_12_02 别撤回了，我都看到了 conv.txt,2016_12_02 别撤回了，我都看到了,date_header_standalone_line,别撤回了，我都看到了 原创：咪蒙+邹丹丹 咪蒙 2016-12-02,,119,23.38,22.0
547,03_3人际沟通,2016_12_05 你这么爱出糗，好想和你做朋友 conv.txt,2016_12_05 你这么爱出糗，好想和你做朋友,date_header_standalone_line,你这么爱出糗，好想和你做朋友 原创：咪蒙 咪蒙 2016-12-05,,87,23.94,20.0
548,03_3人际沟通,2016_12_06 谢谢你亲自给我下毒，啊不，下厨 conv.txt,2016_12_06 谢谢你亲自给我下毒，啊不，下厨,date_header_standalone_line,谢谢你亲自给我下毒，啊不，下厨 原创：咪蒙 咪蒙 2016-12-06,,60,22.82,19.0
549,03_3人际沟通,2016_12_07 我特别擅长两件事：一拖，再拖 conv.txt,2016_12_07 我特别擅长两件事：一拖，再拖,date_header_standalone_line,我特别擅长两件事：一拖，再拖 原创：咪蒙 咪蒙 2016-12-07,,74,29.86,25.0
550,03_3人际沟通,2016_12_10 倒霉的女孩，运气都不会太差 conv.txt,2016_12_10 倒霉的女孩，运气都不会太差,date_header_standalone_line,倒霉的女孩，运气都不会太差 原创：吉跳+咪蒙 咪蒙 2016-12-10,,111,25.0,22.0
551,03_3人际沟通,2016_12_12 好巧。 conv.txt,2016_12_12 好巧。,title_standalone_line,好巧。,,73,23.62,22.0
552,03_3人际沟通,2016_12_20 我有圣诞礼物，你有女朋友吗？ conv.txt,2016_12_20 我有圣诞礼物，你有女朋友吗？,date_header_standalone_line,我有圣诞礼物，你有女朋友吗？ 原创：咪蒙 咪蒙 2016-12-20,,80,28.68,24.0
